Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Direct GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude,Community Board,Census Tract,log_Order,log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Total GHG Emissions (Metric Tons CO2e),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
2809354,51317.0,1925,1,100,118.7,1.1,288.0,,40.849372,-73.832075,10.0,26601.0,9.028338763993148,1.2809338454620642,5.857647399373643,5.662960480135946,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2798138,84000.0,1939,1,100,94.7,0.9,365.6,,40.640791,-73.962404,14.0,514.0,9.276034475171546,1.308332819650179,6.142252436230051,5.901539839579995,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2969427,66832.0,1989,1,100,101.0,0.9,305.5,4832.6,40.863602,-73.869382,11.0,33202.0,9.046055177668327,1.4816045409242156,5.986452005284438,5.72194977861165,8.483139904091354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3119482,66577.0,1936,1,100,75.0,0.1,175.8,961.0,40.751553,-73.984152,5.0,84.0,7.6624678152002375,2.379546134130174,6.013470627370596,5.169346985251076,6.8679744089702925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4399604,118800.0,1917,1,100,49.8,0.5,311.5,,40.631824,-74.029345,10.0,66.0,9.309914176872276,0.6931471805599453,5.986954391630096,5.741399338227508,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4926034,52030.0,1924,1,100,101.2,0.1,311.6,,40.844819,-73.878502,6.0,361.0,8.923591197573002,1.6486586255873816,5.993961427306569,5.741720313996593,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5793833,51800.0,1964,1,100,88.3,0.8,200.4,2616.7,40.586363,-73.966233,13.0,37401.0,9.35668926831132,1.5040773967762742,5.616771097666572,5.3003153692107094,7.869669260880709,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5864824,84772.0,1911,1,100,95.8,0.5,170.0,1560.4,40.744802,-73.995114,4.0,91.0,7.503289630675082,2.5952547069568657,6.0874563127617085,5.135798437050262,7.352697477632502,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4043138,51180.0,1940,1,100,104.2,0.0,394.0,,40.891873,-73.860168,12.0,420.0,9.057189192482008,1.410986973710262,6.156978985585555,5.976350909297934,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2637906,60000.0,1961,1,100,76.3,0.6,165.4,2093.3,40.73469,-74.009371,2.0,75.0,7.240649694255466,1.9315214116032138,5.70877001616724,5.108366782589591,7.646497047100475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
